RWrist_X,RWrist_Y,frame_number,frame_peaks,pid,sample_id
231.894,150.577,612,0,P10_A,8
229.378,148.09,613,0,P10_A,8
226.905,145.607,614,0,P10_A,8
226.9,144.312,615,0,P10_A,8
228.12,136.808,616,0,P10_A,8
228.107,133.069,617,0,P10_A,8
233.148,126.854,618,0,P10_A,8
234.396,123.041,619,0,P10_A,8
234.336,114.295,620,0,P10_A,8
235.621,105.563,621,0,P10_A,8
235.627,95.5993,622,0,P10_A,8
235.647,89.2805,623,0,P10_A,8
235.67,83.0285,624,0,P10_A,8
234.414,75.5529,625,0,P10_A,8
234.431,74.298,626,0,P10_A,8
234.36,73.0022,627,0,P10_A,8
234.386,70.542,628,0,P10_A,8
234.345,69.2732,629,0,P10_A,8
234.38,68.0353,630,0,P10_A,8
234.342,73.0592,631,0,P10_A,8
234.363,71.7729,632,0,P10_A,8
234.385,71.7738,633,0,P10_A,8
234.356,73.0027,634,0,P10_A,8
234.396,73.0414,635,0,P10_A,8
234.428,71.7852,636,0,P10_A,8
235.607,74.3142,637,0,P10_A,8
235.668,74.3261,638,0,P10_A,8
235.696,74.296,639,0,P10_A,8
236.879,74.2861,640,0,P10_A,8
235.618,78.0361,641,0,P10_A,8
234.42,81.7867,642,0,P10_A,8
234.416,85.5081,643,0,P10_A,8
234.399,89.3223,644,0,P10_A,8
234.33,94.3086,645,0,P10_A,8
233.126,98.0324,646,0,P10_A,8
234.322,104.34,647,0,P10_A,8
233.123,108.051,648,0,P10_A,8
234.309,114.322,649,0,P10_A,8
234.348,116.849,650,0,P10_A,8
234.359,124.331,651,0,P10_A,8
234.424,128.05,652,0,P10_A,8
234.422,133.069,653,0,P10_A,8
234.42,135.62,654,0,P10_A,8
234.389,138.083,655,0,P10_A,8
234.434,144.332,656,0,P10_A,8
234.423,145.557,657,0,P10_A,8
234.405,145.609,658,0,P10_A,8
234.414,148.071,659,0,P10_A,8
234.396,148.074,660,0,P10_A,8
234.376,148.094,661,0,P10_A,8
234.364,148.089,662,0,P10_A,8
234.376,148.099,663,0,P10_A,8
234.396,148.088,664,1,P10_A,9
234.406,149.321,665,0,P10_A,9
234.419,148.103,666,0,P10_A,9
234.409,148.062,667,0,P10_A,9
234.421,145.623,668,0,P10_A,9
235.591,145.577,669,0,P10_A,9
235.638,144.348,670,0,P10_A,9
235.652,143.079,671,0,P10_A,9
235.689,138.085,672,0,P10_A,9
236.879,135.56,673,0,P10_A,9
236.893,134.258,674,0,P10_A,9
236.9,129.301,675,0,P10_A,9
238.107,124.308,676,0,P10_A,9
238.109,119.323,677,0,P10_A,9
239.38,115.514,678,0,P10_A,9
236.901,108.054,679,0,P10_A,9
236.908,104.317,680,0,P10_A,9
236.892,99.2979,681,0,P10_A,9
236.893,94.3162,682,0,P10_A,9
236.917,89.3165,683,0,P10_A,9
236.876,84.3064,684,0,P10_A,9
236.911,83.0048,685,0,P10_A,9
236.886,75.5222,686,0,P10_A,9
235.695,74.2732,687,0,P10_A,9
235.656,72.998,688,0,P10_A,9
235.582,68.0341,689,0,P10_A,9
234.405,73.0337,690,0,P10_A,9
233.142,74.2568,691,0,P10_A,9
234.333,65.5716,692,0,P10_A,9
233.13,66.7718,693,0,P10_A,9
233.132,65.5832,694,0,P10_A,9
234.353,66.797,695,0,P10_A,9
234.375,66.7971,696,0,P10_A,9
234.366,66.7885,697,0,P10_A,9
234.374,68.0195,698,0,P10_A,9
234.33,73.0299,699,0,P10_A,9
234.393,70.5442,700,0,P10_A,9
234.35,71.7771,701,0,P10_A,9
234.372,73.0616,702,0,P10_A,9
234.4,74.3187,703,0,P10_A,9
234.41,76.8133,704,0,P10_A,9
234.417,80.5306,705,0,P10_A,9
235.593,84.3266,706,0,P10_A,9
235.633,88.0658,707,0,P10_A,9
235.633,95.5127,708,0,P10_A,9
235.636,99.3045,709,0,P10_A,9
